storm_length,avg_lat,avg_lon
1,29.73,-95.37
1,25.95,-97.5
1,26.08,-98.17
1,32.1,-96.47
2,31.485,-96.125
1,35.88,-101.52
1,29.95,-95.7
1,33.17,-101.8
1,32.92,-96.5
1,32.32,-94.92
1,28.7,-96.15
2,28.674999999999997,-96.84
1,28.2,-97.75
1,28.85,-97.08
1,33.22,-97.8
1,28.85,-96.87
1,30.53,-95.05
1,32.13,-96.95
1,32.87,-95.17
1,29.02,-96.5
1,31.6,-94.85
1,31.72,-94.23
1,30.18,-97.63
2,29.37,-95.35
1,32.53,-96.87
1,31.97,-102.17
9,30.34444444444445,-96.96666666666667
7,33.222857142857144,-99.7942857142857
2,33.28,-101.115
17,33.474705882352936,-99.72882352941176
4,33.690000000000005,-99.19
1,28.7,-97.27
12,32.93416666666667,-98.2475
5,31.196000000000005,-96.672
1,31.25,-103.78
1,31.87,-102.2
1,36.07,-101.97
2,29.65,-98.9
1,28.25,-97.68
4,32.482499999999995,-99.2875
6,28.968333333333334,-96.46333333333332
2,29.735,-95.0
6,31.91,-96.86666666666666
2,32.335,-94.65
5,30.895999999999997,-98.346
7,31.62,-97.82428571428571
19,31.72052631578947,-97.53105263157893
7,33.36857142857143,-98.36285714285714
6,31.343333333333334,-97.64166666666667
1,26.0,-97.15
1,30.0,-93.93
1,30.88,-103.57
2,32.129999999999995,-97.265
1,35.22,-101.72
1,33.38,-99.7
1,32.48,-96.42
3,28.316666666666666,-96.87666666666667
3,32.9,-97.00999999999999
1,29.88,-93.98
3,27.526666666666667,-97.55666666666667
2,27.875,-97.275
3,28.21666666666667,-97.02666666666666
2,30.435000000000002,-103.75999999999999
1,33.63,-101.33
1,31.97,-94.85
1,27.78,-97.42
1,27.78,-97.9
1,26.27,-97.6
1,30.6,-97.42
1,30.08,-95.42
2,30.935000000000002,-96.63499999999999
1,33.48,-97.08
1,29.5,-95.05
1,27.58,-97.17
3,29.94333333333333,-96.37333333333333
1,31.72,-99.95
1,29.05,-99.58
2,33.57,-97.22
1,32.2,-95.9
1,32.4,-94.22
1,33.2,-96.72
1,29.65,-98.22
4,30.365,-100.85249999999999
4,29.6075,-96.94
8,33.4025,-96.00625
13,32.90538461538461,-102.08230769230771
3,32.22666666666667,-98.59666666666668
1,26.08,-97.68
3,30.573333333333334,-96.79
2,33.785,-102.19
7,33.64714285714286,-100.0257142857143
1,32.6,-94.62
1,32.35,-97.95
1,29.58,-98.92
2,35.775,-101.93
2,35.010000000000005,-100.34
8,34.99125,-101.40125
6,33.583333333333336,-101.14166666666667
10,33.831,-100.878
3,30.44333333333333,-99.55
2,35.165,-101.88499999999999
1,31.78,-102.2
1,31.63,-100.23
2,32.745000000000005,-96.41499999999999
1,36.05,-102.0
1,31.17,-103.0
1,29.38,-94.88
1,36.42,-101.88
2,32.3,-96.065
1,33.23,-97.57
1,36.4,-101.52
2,32.1,-96.375
1,34.68,-102.1
1,31.45,-102.9
2,30.685000000000002,-97.075
2,29.985,-98.085
2,30.395,-95.96000000000001
2,33.445,-97.695
2,32.02,-97.42
1,31.13,-97.92
1,32.2,-95.25
2,31.525,-96.315
4,29.807499999999997,-95.99999999999999
3,29.686666666666667,-95.55999999999999
1,32.4,-94.93
3,34.39333333333334,-99.87333333333333
2,34.05,-101.23
1,31.28,-103.0
7,33.85000000000001,-101.64571428571428
4,32.5775,-101.17500000000001
6,31.521666666666665,-96.795
1,29.3,-97.3
1,32.73,-94.93
9,32.916666666666664,-98.46777777777778
5,31.677999999999997,-100.278
1,36.43,-100.32
1,36.42,-102.07
3,35.00666666666667,-100.42
17,32.34294117647058,-95.71588235294118
4,31.6575,-95.68749999999999
1,32.87,-98.9
1,31.83,-99.52
1,33.98,-99.73
4,34.29750000000001,-101.0925
1,35.22,-100.25
4,33.162499999999994,-102.2125
10,33.98500000000001,-101.751
2,34.72,-100.505
7,32.39714285714286,-98.95142857142856
1,29.8,-95.27
2,34.760000000000005,-102.575
1,34.17,-102.9
4,34.504999999999995,-102.2225
